,Title,Price,Rating,Reviews
0,Samsung Galaxy M12 LTE Dual SIM Smartpho,474.03,4.0,294
1,New Apple iPhone 13 Pro Max (256GB) - Si,4532.0,4.3,500
5,New Apple iPhone 13 (128GB) - Blue,2999.0,4.2,253
7,Apple iPhone 11 (128GB) - Black,2199.0,4.4,1599
24,"Xiaomi Redmi 9A Smartphone, 6.2"", Dual S",325.0,4.5,6742
31,"Samsung Galaxy M12 (Black,6GB RAM, 128GB",592.0,4.1,145422
35,Xiaomi Poco X4 Pro 5G - Smartphone 256GB,1199.0,4.2,353
36,Nokia 3310 Old Classic Cellular Phone,250.0,4.0,237
38,"Samsung Note20 Series S Pen, Mystic Bron",165.31,4.7,223
41,"Samsung Galaxy Tab S7 Book Cover, Black",99.0,4.5,1420
62,Samsung Galaxy A51 Mobile Phone; Sim Fre,1052.0,4.6,2408
63,Nokia 105 (4th Edition) 1.77 Inch UK SIM,80.0,4.1,4308
70,"Xiaomi Mi 11 Lite 5G - Smartphone 128GB,",1039.0,4.3,825
77,Sony Xperia 10 III - 6.0 Inch 21:9 Wide™,2875.0,4.3,263
79,Samsung Galaxy S20+ Dual SIM 128GB 12GB ,2249.0,4.1,233
102,OPPO A72-4GB + 128GB Qualcomm® Snapdrago,774.0,4.5,467
105,Huawei Nova 3i 4GB RAM 128GB Iris Purple,549.0,4.3,1825
106,Alcatel Dual-SIM 16MB Rom and 8MB RAM Fa,815.0,3.9,220
116,"Google Pixel 4a (4G) G025N 128GB, 5.8"" i",2145.0,4.5,1679
129,"Samsung Galaxy A42 5G, Factory Unlocked ",1195.99,4.2,324
132,TTfone TT110 Cheap SOS Emergency Mobile ,59.0,4.0,408
135,"Tecno Pop 5 LTE(Ice Blue 2G+32GB)| 6.52""",339.0,4.1,1409
137,Samsung Galaxy A12 SIM Free Android Smar,529.0,4.5,4229
140,Sony Xperia 1 II - 6.5 Inch 21:9 CinemaW,4480.0,4.5,207
143,WATACHE Compatible with iPhone 13 Pro Ca,52.59,4.1,752
155,Xiaomi Redmi Note 10 Dual SIM Lake Green,739.0,4.7,4075
